,placeID,name,userID,rating
0,134999,Kiku Cuernavaca,1093,2
1,134999,Kiku Cuernavaca,1066,1
2,134999,Kiku Cuernavaca,1040,1
3,134999,Kiku Cuernavaca,1110,2
4,134999,Kiku Cuernavaca,1121,2
5,132825,puesto de tacos,1077,2
6,132825,puesto de tacos,1055,2
7,132825,puesto de tacos,1053,1
8,132825,puesto de tacos,1081,1
9,132825,puesto de tacos,1001,2
10,132825,puesto de tacos,1056,2
11,132825,puesto de tacos,1134,1
12,132825,puesto de tacos,1116,2
13,132825,puesto de tacos,1024,1
14,132825,puesto de tacos,1132,2
15,132825,puesto de tacos,1036,2
16,132825,puesto de tacos,1071,2
17,132825,puesto de tacos,1049,0
18,132825,puesto de tacos,1104,1
19,132825,puesto de tacos,1045,2
20,132825,puesto de tacos,1009,1
21,132825,puesto de tacos,1135,0
22,132825,puesto de tacos,1062,0
23,132825,puesto de tacos,1109,2
24,132825,puesto de tacos,1085,2
25,132825,puesto de tacos,1098,1
26,132825,puesto de tacos,1003,2
27,132825,puesto de tacos,1091,0
28,132825,puesto de tacos,1029,1
29,132825,puesto de tacos,1137,2
30,132825,puesto de tacos,1114,0
31,132825,puesto de tacos,1061,1
32,132825,puesto de tacos,1057,1
33,132825,puesto de tacos,1025,0
34,132825,puesto de tacos,1059,2
35,132825,puesto de tacos,1006,1
36,132825,puesto de tacos,1002,2
37,135106,El Rinc�n de San Francisco,1055,2
38,135106,El Rinc�n de San Francisco,1126,2
39,135106,El Rinc�n de San Francisco,1024,1
40,135106,El Rinc�n de San Francisco,1004,2
41,135106,El Rinc�n de San Francisco,1106,0
42,135106,El Rinc�n de San Francisco,1016,2
43,135106,El Rinc�n de San Francisco,1101,0
44,135106,El Rinc�n de San Francisco,1135,0
45,135106,El Rinc�n de San Francisco,1078,2
46,135106,El Rinc�n de San Francisco,1002,1
47,132667,little pizza Emilio Portes Gil,1103,1
48,132667,little pizza Emilio Portes Gil,1123,1
49,132667,little pizza Emilio Portes Gil,1063,1
50,132667,little pizza Emilio Portes Gil,1087,2
51,132613,carnitas_mata,1103,2
52,132613,carnitas_mata,1070,1
53,132613,carnitas_mata,1082,0
54,132613,carnitas_mata,1123,1
55,132613,carnitas_mata,1028,2
56,132613,carnitas_mata,1043,1
57,135040,Restaurant los Compadres,1126,0
58,135040,Restaurant los Compadres,1022,0
59,135040,Restaurant los Compadres,1105,0
60,135040,Restaurant los Compadres,1001,1
61,132732,Taqueria EL amigo ,1068,0
62,132732,Taqueria EL amigo ,1067,1
63,132732,Taqueria EL amigo ,1103,0
64,132732,Taqueria EL amigo ,1082,0
65,132732,Taqueria EL amigo ,1028,1
66,132732,Taqueria EL amigo ,1050,0
67,132732,Taqueria EL amigo ,1087,2
68,132732,Taqueria EL amigo ,1043,1
69,132875,shi ro ie,1047,0
70,132875,shi ro ie,1013,2
71,132875,shi ro ie,1089,1
72,132875,shi ro ie,1091,1
73,132875,shi ro ie,1027,1
74,132875,shi ro ie,1128,0
75,132875,shi ro ie,1006,2
